height,timestamp,diff,change,bits,average_time(seconds),average_hashrate,diff (6-period later),diff (12-period later),diff (24-period later)
485856,1505716276,1.10E+12,19.58,0x1800ff18,502,7.89E+18,1.5909E+12,3.00738E+12,5.94944E+12
487872,1506904066,1.12E+12,1.85,0x1800fa73,589,8.04E+18,1.87311E+12,3.29061E+12,6.38932E+12
489888,1508040302,1.20E+12,6.49,0x1800eb30,564,8.56E+18,1.93114E+12,3.46254E+12,6.72723E+12
491904,1509036762,1.45E+12,21.39,0x1800c1bd,494,1.04E+19,2.22785E+12,3.51106E+12,7.0192E+12
493920,1510326831,1.36E+12,-6.09,0x1800ce4b,640,9.75E+18,2.60308E+12,3.83932E+12,7.15263E+12
495936,1511553196,1.35E+12,-1.28,0x1800d0f6,608,9.63E+18,2.87467E+12,4.02206E+12,7.45497E+12
497952,1512577401,1.59E+12,18.11,0x1800b0ed,508,1.14E+19,3.00738E+12,4.14388E+12,7.18285E+12
499968,1513605320,1.87E+12,17.74,0x18009645,510,1.34E+19,3.29061E+12,4.30695E+12,7.1844E+12
501984,1514778970,1.93E+12,3.1,0x180091c1,582,1.38E+19,3.46254E+12,4.9407E+12,6.6533E+12
504000,1515827554,2.23E+12,15.36,0x177e578c,520,1.59E+19,3.51106E+12,5.0775E+12,5.6464E+12
506016,1516862900,2.60E+12,16.84,0x176c2146,514,1.86E+19,3.83932E+12,5.36368E+12,5.10642E+12
508032,1517958487,2.87E+12,10.43,0x1761e9f8,543,2.06E+19,4.02206E+12,5.17867E+12,5.6186E+12
510048,1519114859,3.01E+12,4.62,0x175d97dc,574,2.15E+19,4.14388E+12,5.94944E+12,5.88399E+12
512064,1520223678,3.29E+12,9.42,0x175589a3,550,2.35E+19,4.30695E+12,6.38932E+12,5.81466E+12
514080,1521373218,3.46E+12,5.23,0x17514a49,570,2.48E+19,4.9407E+12,6.72723E+12,6.06152E+12
516096,1522566357,3.51E+12,1.4,0x17502ab7,592,2.51E+19,5.0775E+12,7.0192E+12,6.07185E+12
518112,1523672932,3.84E+12,9.35,0x1749500d,549,2.75E+19,5.36368E+12,7.15263E+12,6.06889E+12
520128,1524828253,4.02E+12,4.76,0x1745fb53,573,2.88E+19,5.17867E+12,7.45497E+12,6.37927E+12
522144,1526003655,4.14E+12,3.03,0x1743eca9,583,2.96E+19,5.94944E+12,7.18285E+12,6.39302E+12
524160,1527168053,4.31E+12,3.94,0x17415a49,578,3.08E+19,6.38932E+12,7.1844E+12,6.35303E+12
526176,1528222686,4.94E+12,14.71,0x1738f841,523,3.54E+19,6.72723E+12,6.6533E+12,6.70217E+12
528192,1529400045,5.08E+12,2.77,0x17376f56,584,3.63E+19,7.0192E+12,5.6464E+12,6.70463E+12
530208,1530545661,5.36E+12,5.64,0x17347a28,568,3.84E+19,7.15263E+12,5.10642E+12,7.45968E+12
532224,1531799449,5.18E+12,-3.45,0x17365a17,622,3.70E+19,7.45497E+12,5.6186E+12,7.4094E+12
534240,1532852371,5.95E+12,14.88,0x172f4f7b,522,4.26E+19,7.18285E+12,5.88399E+12,7.93471E+12
536256,1533980459,6.39E+12,7.39,0x172c0da7,560,4.57E+19,7.1844E+12,5.81466E+12,9.06416E+12
538272,1535129431,6.73E+12,5.29,0x1729d72d,570,4.81E+19,6.6533E+12,6.06152E+12,9.01379E+12
540288,1536290079,7.02E+12,4.34,0x172819a1,576,5.02E+19,5.6464E+12,6.07185E+12,9.98535E+12
542304,1537478139,7.15E+12,1.9,0x17275a1f,589,5.12E+19,5.10642E+12,6.06889E+12,1.01835E+13
544320,1538639362,7.45E+12,4.23,0x1725c191,576,5.33E+19,5.6186E+12,6.37927E+12,1.0772E+13
546336,1539895067,7.18E+12,-3.65,0x17272fbd,623,5.14E+19,5.88399E+12,6.39302E+12,1.18906E+13
548352,1541105656,7.18E+12,0.02,0x17272d92,600,5.14E+19,5.81466E+12,6.35303E+12,1.27598E+13
550368,1542412284,6.65E+12,-7.39,0x172a4e2f,648,4.76E+19,6.06152E+12,6.70217E+12,1.30081E+13
552384,1543838368,5.65E+12,-15.13,0x1731d97c,707,4.04E+19,6.07185E+12,6.70463E+12,1.36915E+13
554400,1545175965,5.11E+12,-9.56,0x17371ef4,663,3.66E+19,6.06889E+12,7.45968E+12,1.272E+13
556416,1546276809,5.62E+12,10.03,0x173218a5,546,4.02E+19,6.37927E+12,7.4094E+12,1.29732E+13
558432,1547432394,5.88E+12,4.72,0x172fd633,573,4.21E+19,6.39302E+12,7.93471E+12,1.28768E+13
560448,1548657313,5.81E+12,-1.18,0x17306835,608,4.16E+19,6.35303E+12,9.06416E+12,1.29486E+13
562464,1549817981,6.06E+12,4.25,0x172e6f88,576,4.34E+19,6.70217E+12,9.01379E+12,1.37988E+13
564480,1551026038,6.07E+12,0.17,0x172e5b50,599,4.34E+19,6.70463E+12,9.98535E+12,1.47764E+13
566496,1552236304,6.07E+12,-0.05,0x172e6117,600,4.34E+19,7.45968E+12,1.01835E+13,1.54661E+13
568512,1553387093,6.38E+12,5.11,0x172c1f6c,571,4.57E+19,7.4094E+12,1.0772E+13,1.55467E+13
570528,1554594223,6.39E+12,0.22,0x172c071d,599,4.58E+19,7.93471E+12,1.18906E+13,1.54869E+13
572544,1555811668,6.35E+12,-0.63,0x172c4e11,604,4.55E+19,9.06416E+12,1.27598E+13,1.65529E+13
574560,1556958733,6.70E+12,5.5,0x1729ff38,569,4.80E+19,9.01379E+12,1.30081E+13,1.39125E+13
576576,1558168296,6.70E+12,0.04,0x1729fb45,600,4.80E+19,9.98535E+12,1.36915E+13,1.47152E+13
578592,1559256184,7.46E+12,11.26,0x1725bb76,540,5.34E+19,1.01835E+13,1.272E+13,1.59587E+13
580608,1560474230,7.41E+12,-0.67,0x1725fd03,604,5.30E+19,1.0772E+13,1.29732E+13,1.61048E+13
582624,1561604370,7.93E+12,7.09,0x1723792c,561,5.68E+19,1.18906E+13,1.28768E+13,1.5138E+13
584640,1562663868,9.06E+12,14.23,0x171f0d9b,526,6.48E+19,1.27598E+13,1.29486E+13,1.37324E+13
586656,1563880937,9.01E+12,-0.56,0x171f3a08,604,6.45E+19,1.30081E+13,1.37988E+13,1.57847E+13
